contractType,dayToExpire,strikePrice,spotPrice,RFR,settlePrice,,dayToExpire
0,72,2.651,2.655,0.024654,0.1316,,0.282352941
0,71,2.651,2.626,0.024654,0.1128,,0.278431373
0,70,2.651,2.643,0.024654,0.1199,,0.274509804
0,69,2.651,2.676,0.024654,0.1311,,0.270588235
0,68,2.651,2.637,0.024654,0.1033,,0.266666667
0,64,2.651,2.722,0.024654,0.1526,,0.250980392
0,60,2.651,2.642,0.024654,0.1095,,0.235294118
0,59,2.651,2.642,0.024654,0.1095,,0.231372549
0,55,2.651,2.654,0.024654,0.1139,,0.215686275
0,54,2.651,2.634,0.024654,0.1038,,0.211764706
0,51,2.651,2.674,0.024654,0.1213,,0.2
0,50,2.651,2.714,0.024654,0.1366,,0.196078431
0,49,2.651,2.711,0.024654,0.1332,,0.192156863
0,48,2.651,2.723,0.024654,0.1362,,0.188235294
0,47,2.651,2.716,0.024654,0.13,,0.184313725
0,45,2.651,2.745,0.024654,0.1411,,0.176470588
0,37,2.651,2.736,0.024654,0.1237,,0.145098039
0,36,2.651,2.717,0.024654,0.1067,,0.141176471
0,34,2.651,2.655,0.024654,0.0646,,0.133333333
0,30,2.651,2.667,0.024654,0.07,,0.117647059
0,29,2.651,2.655,0.024654,0.0602,,0.11372549
0,28,2.651,2.601,0.024654,0.0451,,0.109803922
0,27,2.651,2.651,0.024654,0.0602,,0.105882353
0,26,2.651,2.643,0.024654,0.0555,,0.101960784
0,26,2.651,2.686,0.024654,0.0744,,0.101960784
0,22,2.651,2.696,0.024654,0.0767,,0.08627451
0,21,2.651,2.686,0.024654,0.0715,,0.082352941
0,20,2.651,2.694,0.024654,0.0732,,0.078431373
0,19,2.651,2.652,0.024654,0.0478,,0.074509804
0,17,2.651,2.652,0.024654,0.0471,,0.066666667
0,16,2.651,2.663,0.024654,0.0516,,0.062745098
0,15,2.651,2.688,0.024654,0.0666,,0.058823529
0,14,2.651,2.672,0.024654,0.0542,,0.054901961
0,13,2.651,2.675,0.024654,0.0577,,0.050980392
0,12,2.651,2.678,0.024654,0.0587,,0.047058824
0,8,2.651,2.612,0.024654,0.0241,,0.031372549
0,7,2.651,2.61,0.024654,0.0165,,0.02745098
0,6,2.651,2.592,0.024654,0.0068,,0.023529412
0,5,2.651,2.598,0.024654,0.0063,,0.019607843
0,2,2.651,2.548,0.024654,8.00E-04,,0.007843137
0,1,2.651,2.52,0.024654,3.00E-04,,0.003921569
0,72,2.7,2.655,0.024654,0.1099,,0.282352941
0,71,2.7,2.626,0.024654,0.0893,,0.278431373
0,70,2.7,2.643,0.024654,0.0974,,0.274509804
0,69,2.7,2.676,0.024654,0.1066,,0.270588235
0,68,2.7,2.637,0.024654,0.0836,,0.266666667
0,64,2.7,2.722,0.024654,0.1232,,0.250980392
0,60,2.7,2.642,0.024654,0.0866,,0.235294118
0,59,2.7,2.642,0.024654,0.0866,,0.231372549
0,55,2.7,2.654,0.024654,0.091,,0.215686275
