iv,contractType,dayToExpire,strikePrice,spotPrice,RFR,settlePrice
0.254,0,0.282352941,2.651,2.655,0.024654,0.1316
0.249,0,0.278431373,2.651,2.626,0.024654,0.1128
0.247,0,0.274509804,2.651,2.643,0.024654,0.1199
0.233,0,0.270588235,2.651,2.676,0.024654,0.1311
0.222,0,0.266666667,2.651,2.637,0.024654,0.1033
0.227,0,0.250980392,2.651,2.722,0.024654,0.1526
0.247,0,0.235294118,2.651,2.642,0.024654,0.1095
0.249,0,0.231372549,2.651,2.642,0.024654,0.1095
0.255,0,0.215686275,2.651,2.654,0.024654,0.1139
0.258,0,0.211764706,2.651,2.634,0.024654,0.1038
0.256,0,0.2,2.651,2.674,0.024654,0.1213
0.235,0,0.196078431,2.651,2.714,0.024654,0.1366
0.234,0,0.192156863,2.651,2.711,0.024654,0.1332
0.223,0,0.188235294,2.651,2.723,0.024654,0.1362
0.234,0,0.184313725,2.651,2.716,0.024654,0.13
0.201,0,0.176470588,2.651,2.745,0.024654,0.1411
0.19,0,0.145098039,2.651,2.736,0.024654,0.1237
0.182,0,0.141176471,2.651,2.717,0.024654,0.1067
0.178,0,0.133333333,2.651,2.655,0.024654,0.0646
0.195,0,0.117647059,2.651,2.667,0.024654,0.07
0.181,0,0.11372549,2.651,2.655,0.024654,0.0602
0.22,0,0.109803922,2.651,2.601,0.024654,0.0451
0.196,0,0.105882353,2.651,2.651,0.024654,0.0602
0.198,0,0.101960784,2.651,2.643,0.024654,0.0555
0.177,0,0.101960784,2.651,2.686,0.024654,0.0744
0.178,0,0.08627451,2.651,2.696,0.024654,0.0767
0.189,0,0.082352941,2.651,2.686,0.024654,0.0715
0.179,0,0.078431373,2.651,2.694,0.024654,0.0732
0.184,0,0.074509804,2.651,2.652,0.024654,0.0478
0.193,0,0.066666667,2.651,2.652,0.024654,0.0471
0.193,0,0.062745098,2.651,2.663,0.024654,0.0516
0.198,0,0.058823529,2.651,2.688,0.024654,0.0666
0.195,0,0.054901961,2.651,2.672,0.024654,0.0542
0.211,0,0.050980392,2.651,2.675,0.024654,0.0577
0.217,0,0.047058824,2.651,2.678,0.024654,0.0587
0.256,0,0.031372549,2.651,2.612,0.024654,0.0241
0.222,0,0.02745098,2.651,2.61,0.024654,0.0165
0.194,0,0.023529412,2.651,2.592,0.024654,0.0068
0.193,0,0.019607843,2.651,2.598,0.024654,0.0063
0.293,0,0.007843137,2.651,2.548,0.024654,8.00E-04
0.449,0,0.003921569,2.651,2.52,0.024654,3.00E-04
0.257,0,0.282352941,2.7,2.655,0.024654,0.1099
0.244,0,0.278431373,2.7,2.626,0.024654,0.0893
0.247,0,0.274509804,2.7,2.643,0.024654,0.0974
0.233,0,0.270588235,2.7,2.676,0.024654,0.1066
0.226,0,0.266666667,2.7,2.637,0.024654,0.0836
0.225,0,0.250980392,2.7,2.722,0.024654,0.1232
0.245,0,0.235294118,2.7,2.642,0.024654,0.0866
0.247,0,0.231372549,2.7,2.642,0.024654,0.0866
0.254,0,0.215686275,2.7,2.654,0.024654,0.091
0.259,0,0.211764706,2.7,2.634,0.024654,0.0825
0.252,0,0.2,2.7,2.674,0.024654,0.0954
0.237,0,0.196078431,2.7,2.714,0.024654,0.1094
0.229,0,0.192156863,2.7,2.711,0.024654,0.1035
0.224,0,0.188235294,2.7,2.723,0.024654,0.1075
0.218,0,0.184313725,2.7,2.716,0.024654,0.0999
0.199,0,0.176470588,2.7,2.745,0.024654,0.1085
0.183,0,0.145098039,2.7,2.736,0.024654,0.0893
0.175,0,0.141176471,2.7,2.717,0.024654,0.0743
0.178,0,0.133333333,2.7,2.655,0.024654,0.0422
0.186,0,0.117647059,2.7,2.667,0.024654,0.0456
0.182,0,0.11372549,2.7,2.655,0.024654,0.0383
0.221,0,0.109803922,2.7,2.601,0.024654,0.0291
0.195,0,0.105882353,2.7,2.651,0.024654,0.0383
0.193,0,0.101960784,2.7,2.643,0.024654,0.0338
0.17,0,0.101960784,2.7,2.686,0.024654,0.0456
0.186,0,0.08627451,2.7,2.696,0.024654,0.0502
0.188,0,0.082352941,2.7,2.686,0.024654,0.0445
0.174,0,0.078431373,2.7,2.694,0.024654,0.0437
0.182,0,0.074509804,2.7,2.652,0.024654,0.0262
0.193,0,0.066666667,2.7,2.652,0.024654,0.0262
0.191,0,0.062745098,2.7,2.663,0.024654,0.0286
0.189,0,0.058823529,2.7,2.688,0.024654,0.0375
0.192,0,0.054901961,2.7,2.672,0.024654,0.0295
0.205,0,0.050980392,2.7,2.675,0.024654,0.0317
0.207,0,0.047058824,2.7,2.678,0.024654,0.0316
0.266,0,0.031372549,2.7,2.612,0.024654,0.0122
0.228,0,0.02745098,2.7,2.61,0.024654,0.0064
0.216,0,0.023529412,2.7,2.592,0.024654,0.0024
0.195,0,0.019607843,2.7,2.598,0.024654,0.0012
0.352,0,0.007843137,2.7,2.548,0.024654,3.00E-04
0.547,0,0.003921569,2.7,2.52,0.024654,2.00E-04
0.256,0,0.282352941,2.749,2.655,0.024654,0.0892
0.251,0,0.278431373,2.749,2.626,0.024654,0.0741
0.249,0,0.274509804,2.749,2.643,0.024654,0.079
0.234,0,0.270588235,2.749,2.676,0.024654,0.086
0.23,0,0.266666667,2.749,2.637,0.024654,0.0668
0.224,0,0.250980392,2.749,2.722,0.024654,0.0983
0.247,0,0.235294118,2.749,2.642,0.024654,0.0684
0.249,0,0.231372549,2.749,2.642,0.024654,0.0684
0.255,0,0.215686275,2.749,2.654,0.024654,0.0716
0.259,0,0.211764706,2.749,2.634,0.024654,0.0646
0.255,0,0.2,2.749,2.674,0.024654,0.0755
0.238,0,0.196078431,2.749,2.714,0.024654,0.0862
0.227,0,0.192156863,2.749,2.711,0.024654,0.0792
0.222,0,0.188235294,2.749,2.723,0.024654,0.0821
0.215,0,0.184313725,2.749,2.716,0.024654,0.0749
0.193,0,0.176470588,2.749,2.745,0.024654,0.079
0.178,0,0.145098039,2.749,2.736,0.024654,0.0608
0.174,0,0.141176471,2.749,2.717,0.024654,0.0495
0.177,0,0.133333333,2.749,2.655,0.024654,0.0256
0.184,0,0.117647059,2.749,2.667,0.024654,0.0277
0.185,0,0.11372549,2.749,2.655,0.024654,0.0235
0.219,0,0.109803922,2.749,2.601,0.024654,0.0175
0.194,0,0.105882353,2.749,2.651,0.024654,0.0228
0.194,0,0.101960784,2.749,2.643,0.024654,0.0198
0.172,0,0.101960784,2.749,2.686,0.024654,0.0269
0.183,0,0.08627451,2.749,2.696,0.024654,0.0291
0.188,0,0.082352941,2.749,2.686,0.024654,0.0256
0.174,0,0.078431373,2.749,2.694,0.024654,0.0239
0.183,0,0.074509804,2.749,2.652,0.024654,0.0133
0.193,0,0.066666667,2.749,2.652,0.024654,0.0131
0.193,0,0.062745098,2.749,2.663,0.024654,0.0145
0.185,0,0.058823529,2.749,2.688,0.024654,0.0185
0.192,0,0.054901961,2.749,2.672,0.024654,0.0141
0.2,0,0.050980392,2.749,2.675,0.024654,0.0149
0.201,0,0.047058824,2.749,2.678,0.024654,0.0146
0.271,0,0.031372549,2.749,2.612,0.024654,0.0054
0.242,0,0.02745098,2.749,2.61,0.024654,0.0025
0.234,0,0.023529412,2.749,2.592,0.024654,0.001
0.234,0,0.019607843,2.749,2.598,0.024654,6.00E-04
0.449,0,0.007843137,2.749,2.548,0.024654,3.00E-04
0.664,0,0.003921569,2.749,2.52,0.024654,2.00E-04
0.259,0,0.282352941,2.798,2.655,0.024654,0.073
0.259,0,0.278431373,2.798,2.626,0.024654,0.062
0.251,0,0.274509804,2.798,2.643,0.024654,0.0636
0.238,0,0.270588235,2.798,2.676,0.024654,0.0693
0.233,0,0.266666667,2.798,2.637,0.024654,0.0523
0.228,0,0.250980392,2.798,2.722,0.024654,0.0788
0.247,0,0.235294118,2.798,2.642,0.024654,0.053
0.249,0,0.231372549,2.798,2.642,0.024654,0.053
0.257,0,0.215686275,2.798,2.654,0.024654,0.0561
0.261,0,0.211764706,2.798,2.634,0.024654,0.0501
0.256,0,0.2,2.798,2.674,0.024654,0.0588
0.238,0,0.196078431,2.798,2.714,0.024654,0.0659
0.228,0,0.192156863,2.798,2.711,0.024654,0.0601
0.22,0,0.188235294,2.798,2.723,0.024654,0.0608
0.215,0,0.184313725,2.798,2.716,0.024654,0.0551
0.193,0,0.176470588,2.798,2.745,0.024654,0.0568
0.177,0,0.145098039,2.798,2.736,0.024654,0.0399
0.174,0,0.141176471,2.798,2.717,0.024654,0.0313
0.18,0,0.133333333,2.798,2.655,0.024654,0.0153
0.185,0,0.117647059,2.798,2.667,0.024654,0.0162
0.19,0,0.11372549,2.798,2.655,0.024654,0.014
0.222,0,0.109803922,2.798,2.601,0.024654,0.0105
0.198,0,0.105882353,2.798,2.651,0.024654,0.0135
0.2,0,0.101960784,2.798,2.643,0.024654,0.0117
0.173,0,0.101960784,2.798,2.686,0.024654,0.0146
0.182,0,0.08627451,2.798,2.696,0.024654,0.0153
0.187,0,0.082352941,2.798,2.686,0.024654,0.0133
0.174,0,0.078431373,2.798,2.694,0.024654,0.0117
0.189,0,0.074509804,2.798,2.652,0.024654,0.0066
0.201,0,0.066666667,2.798,2.652,0.024654,0.0067
0.197,0,0.062745098,2.798,2.663,0.024654,0.0068
0.186,0,0.058823529,2.798,2.688,0.024654,0.0082
0.19,0,0.054901961,2.798,2.672,0.024654,0.0058
0.199,0,0.050980392,2.798,2.675,0.024654,0.0063
0.2,0,0.047058824,2.798,2.678,0.024654,0.0059
0.283,0,0.031372549,2.798,2.612,0.024654,0.0025
0.288,0,0.02745098,2.798,2.61,0.024654,0.0019
0.278,0,0.023529412,2.798,2.592,0.024654,6.00E-04
0.283,0,0.019607843,2.798,2.598,0.024654,4.00E-04
0.508,0,0.007843137,2.798,2.548,0.024654,2.00E-04
0.781,0,0.003921569,2.798,2.52,0.024654,2.00E-04
0.259,0,0.282352941,2.847,2.655,0.024654,0.0587
0.257,0,0.278431373,2.847,2.626,0.024654,0.0484
0.256,0,0.274509804,2.847,2.643,0.024654,0.0521
0.241,0,0.270588235,2.847,2.676,0.024654,0.0554
