sigma,v0,rho,theta,kappa
0.211067835,0.2057019,-0.804205436,0.019505417,14.23750382
0.385445135,0.013504154,-0.500927533,1.066405659,0.196534924
0.760456722,0.048126889,-0.112460425,0.056274343,10.39984823
0.690735291,0.029184541,-0.737138466,0.197964528,2.796970058
0.859381808,0.060332928,-0.433328905,0.029662101,8.211208138
0.767116802,0.077943481,-0.706927008,0.186021231,6.397334149
0.522038755,0.067732043,-0.296718427,0.036643682,8.040946685
0.653588773,0.032310503,-0.262563024,0.103121006,3.256251049
0.172556024,0.044941516,-0.496896148,0.999382468,0.174665924
0.204822035,0.042609066,-0.571320705,0.274111754,0.140691067
0.619406671,0.183661925,-0.323910426,0.006632534,9.15074961
0.401705612,0.041030457,-0.381083765,0.218125705,8.597021951
0.564005573,0.025915618,-0.44141683,0.212542079,9.71691416
0.865646159,0.106615695,-0.334865742,0.751385567,0.727591071
0.404209636,0.133151893,-0.327879606,0.12366125,1.933047426
0.361268483,0.153380145,-0.540227195,0.504551075,0.751418215
0.974068048,0.339299589,-0.453379055,0.037604726,13.84129972
0.314213801,0.036672911,-0.885737951,0.281073656,6.641583636
0.735524468,0.027962801,-0.49399992,0.076979368,3.151439011
0.789082626,0.035221666,-0.557994321,0.071898538,11.27905545
0.431268142,0.033298141,-0.955298584,0.047352299,2.110863519
0.801433231,0.004739703,-0.747224182,0.017790064,1.003189535
0.655146412,0.027106733,-0.573637622,0.09792998,2.813265489
0.17844927,0.020326122,-0.570036655,0.035535449,11.78983539
0.599728794,0.103735974,-0.77637026,0.036113197,11.54210397
0.799518472,0.071629662,-0.404000639,0.332539348,3.062166039
0.691414637,0.037938227,-0.377253502,0.497611903,2.871922914
0.377170945,0.06171946,-0.926855744,0.744431025,1.518207726
0.293006634,0.030752428,-0.690762315,0.034477892,2.268364465
0.116826078,0.023211731,-0.002025294,0.488400012,0.66076319
0.794591559,0.040025989,-0.285564327,0.084225193,10.03112326
0.067491638,0.107974529,-0.449826396,0.126222647,3.110905097
0.615915368,0.062391795,-0.319899374,0.139596134,4.207642462
0.778411269,0.014467877,-0.430276115,0.486912716,6.714102253
0.910545244,0.074628705,-0.090927758,0.225169471,8.600002826
0.897636957,0.000689472,-0.907732265,0.008025394,0.537922083
0.75952483,1.55E-05,-0.926803748,0.020922971,0.320370539
0.949104267,0.000439096,-0.895008905,0.096000788,0.391249886
0.676825881,0.000290817,-0.960148149,0.008211963,2.942612513
0.495182794,0.001229684,-0.253828342,0.104248871,0.448578282
0.059796235,0.044387686,-0.963411504,0.436445986,8.585029749
0.286056743,0.019673864,-0.413587772,0.032983706,13.28879108
0.996314772,0.014265894,-0.173225645,0.297807184,0.115028644
0.342053745,0.018525369,-0.316185188,0.03540264,1.395894687
0.741425634,0.012869555,-0.717389389,0.052439725,9.146892249
0.812985992,0.008602813,-0.389123098,0.01905609,8.29762007
0.583782732,0.080774455,-0.059008675,0.062744457,7.315367202
0.87355211,0.043998125,-0.651762585,0.007870312,10.52212333
0.428174732,0.011185583,-0.220021038,0.121973583,0.557052792
0.045831909,0.00523435,-0.42619217,0.474829167,0.349769148
0.730263933,0.030885432,-0.424857947,0.007214547,14.89617705
0.64498649,0.04071792,-0.652294415,0.098226228,0.289675505
0.584620501,0.173493737,-0.331334094,0.005904852,12.76263092
0.842211711,0.041766575,-0.001525261,2.134081795,0.128359133
0.218477049,0.04503927,-0.598149493,0.144350176,3.370080901
0.708295782,0.014384225,-0.419199493,0.320953814,1.946870512
0.537783798,0.057908707,-0.238150185,0.781455256,0.52371032
0.767089829,0.078344955,-0.967588215,0.062928501,6.726786505
0.325491682,0.046596597,-0.404744979,0.046074899,3.136612307
0.593213503,0.001901227,-0.919139056,0.010717612,8.78781515
0.343132392,0.003907727,-0.661391795,0.012611854,13.84853304
0.461180183,0.001297497,-0.751536874,0.004174693,6.810548593
0.896395617,0.003636501,-0.993212143,0.055515144,3.891623661
0.903898906,0.000869429,-0.918949155,0.001032425,2.75547578
0.847734114,0.003006653,-0.994024377,0.698491003,0.109588977
0.209114842,0.001144452,-0.229418094,0.463140595,0.6096789
0.206732837,0.025741979,-0.608363275,0.033895429,2.033696354
0.746895629,0.021315291,-0.158420111,0.004553855,1.366409142
0.328250143,0.021563943,-0.674152158,0.019389095,2.101914272
0.836134595,0.000680271,-0.919226904,0.000891162,2.176177433
0.735985021,0.006463123,-0.99237293,0.225705711,0.124290604
0.873457016,0.005306234,-0.974144911,0.244430471,0.078265036
