sigma,v0,rho,theta,kappa
0.979785865,0.078973125,-0.385662552,0.064344583,9.070025787
0.849426993,0.115372586,-0.513796803,0.005513929,9.304847778
0.524792916,0.05623176,-0.706198683,0.053826577,2.600502217
0.669430921,0.083865882,-0.817779601,0.074317706,9.940238989
0.040930863,0.031320326,-0.319331122,0.202221651,0.27682315
0.645707473,0.112257246,-0.859397875,0.138637743,12.45357395
0.36787846,0.073907589,-0.933826222,0.026963785,6.834881079
0.861975075,0.05563271,-0.575797419,0.056319301,5.43173355
0.29687538,0.020395138,-0.597684455,0.098337455,8.537278823
0.797408484,0.055616891,-0.43687018,0.043144561,1.168621229
0.607568758,0.0842229,-0.729791915,0.102519614,2.884772192
0.087143214,0.130843615,-0.409481716,0.134498915,5.728486932
0.732031633,0.150107197,-0.282773557,0.116896068,13.41212607
0.646122617,0.095654123,-0.85510893,0.843434502,0.705469312
0.591785561,0.102986332,-0.332948514,0.214504131,3.526175377
0.191557612,0.188278149,-0.858847678,0.030098121,1.021599356
0.055374352,0.198637208,-0.790255812,0.13261973,10.51301819
0.631445819,0.220131131,-0.504626641,0.040990618,12.9042021
0.997914803,0.028134638,-0.638322258,1.242295802,0.159614442
0.91589212,0.061804406,-0.490853166,0.037752476,7.866893196
0.890943977,0.039146029,-0.713231492,0.035671281,4.817996214
0.529089463,0.003750865,-0.847086012,0.037010731,0.950681605
0.833737922,0.033719411,-0.079641273,0.2742174,0.439499776
0.769740894,0.019346884,-0.324010259,0.127279264,2.063355103
0.868153286,0.064657739,-0.243066226,1.305646288,0.251035813
0.787893366,0.077372065,-0.447700054,0.244067701,3.970021056
0.276721437,0.096168055,-0.898548665,0.064653465,9.312887564
0.98384233,0.068832155,-0.849250523,0.319575715,3.658940805
0.117530164,0.029176332,-0.282782971,0.188249379,0.299013007
0.230861688,0.02272094,-0.715999508,0.098525473,4.65123007
0.417571486,0.042619301,-0.447364713,0.176959256,1.901812288
0.234310471,0.028302931,-0.664256661,0.468460277,7.156435811
0.834672782,0.018563879,-0.513090007,0.320768536,7.094469025
0.793871339,0.010368726,-0.11171735,1.184475492,2.703669977
0.867392677,0.098273016,-0.474305007,0.106927731,10.54046847
0.94721678,0.000177888,-0.980037389,0.013286726,0.088173566
0.890790151,0.000332989,-0.793454829,0.071588648,0.019491356
0.910578601,0.000281412,-0.785306343,0.137366702,0.164558706
0.896322192,0.000158429,-0.996096132,0.048388554,0.165338873
0.47507203,0.001400642,-0.086002098,0.024990203,6.813147576
0.071142532,0.037473124,-0.892866972,1.24895088,3.229780959
0.793838949,0.063885474,-0.487592017,0.014544566,7.626265332
0.955897464,0.028086679,-0.696291516,0.01282486,0.276384759
0.303668179,0.013464074,-0.751273843,0.028221609,5.70317823
0.051196306,0.014538764,-0.674216888,0.045140059,10.23080842
0.890754978,0.033658238,-0.985954554,0.030514285,0.146991984
0.632214023,0.126067009,-0.525577878,0.023826616,7.086474342
0.817496744,0.009808102,-0.828036355,0.030336915,8.115101803
0.112577559,0.016497011,-0.746307663,0.015142576,10.06372751
0.623228915,0.016796647,-0.61424441,0.290237095,0.431036383
0.40768011,0.007235418,-0.632005275,0.054306675,1.745465667
0.565339148,0.041935377,-0.219109021,0.011033374,0.758548758
0.941723489,0.063792028,-0.73229175,0.087080828,5.009846879
0.091509309,0.015186781,-0.134023573,0.090643649,11.08845371
0.56148178,0.063225207,-0.721243318,0.159380028,1.18597605
0.265767717,0.016708015,-0.498195243,0.368400328,1.475788143
0.876076845,0.13231618,-0.979780987,0.054985504,10.91090268
0.518297567,0.061924221,-0.140494908,0.477514934,0.421339188
0.328213176,0.02760126,-0.276574976,0.492149546,0.596448645
0.520210097,0.002105694,-0.312947324,0.096261931,0.235100963
0.895094052,0.007206625,-0.704001515,0.27551042,0.399137932
0.922836055,0.005238624,-0.962303419,0.047114335,0.975648034
0.956101667,0.000825904,-0.963388015,0.000795966,0.199109091
0.935257808,0.000865061,-0.98560663,0.019939735,0.196719894
0.982945372,0.00103675,-0.932601335,0.174487278,0.033376165
0.649253741,0.017716103,-0.34499948,0.046215755,0.458796381
0.555633769,0.013272166,-0.341338079,0.357531519,0.996196121
0.330634434,0.005058218,-0.246138995,0.05380995,7.459687899
0.725972985,0.015729005,-0.081525421,0.129092857,1.737520727
0.951687546,0.000537665,-0.994033494,0.001749139,1.131644478
0.852475422,0.000625264,-0.990565231,0.014104419,0.300541887
0.958865933,0.002463704,-0.996022764,0.043113614,2.275587604
0.17089248,0.010495992,-0.482868888,0.065840399,4.019133354
0.815097305,0.001400524,-0.212845577,0.165159426,0.640720734
0.823737454,0.004024038,-0.688474857,0.067901352,3.387319649
0.637141709,0.007657805,-0.420884307,0.329308453,0.313544484
0.980365556,0.000336028,-0.807111348,0.009721607,0.077649098
0.958423366,0.000689531,-0.915467717,0.142516957,0.057812198
0.961290367,0.000678599,-0.483878983,0.023615592,1.876684458
0.87140583,0.000218262,-0.881969198,0.042541396,0.34210684
0.650267774,0.001530681,-0.58444305,0.008151063,5.856975644
0.103472676,0.075543366,-0.895780498,2.633386028,4.110101851
0.341117198,0.011148781,-0.835522296,0.006568794,5.097038077
0.662451518,0.013658261,-0.998665808,0.007843523,0.129663415
0.931046699,0.004131129,-0.9873062,0.005104388,0.03240383
0.548891454,0.007274327,-0.679060971,0.315633718,0.203010403
0.937351395,0.005076542,-0.960487164,0.000464506,0.219143745
0.71083892,0.059976918,-0.156775851,0.009555796,7.050201811
0.839678605,0.014775147,-0.995958137,0.021759013,0.838331025
0.791545234,0.00038867,-0.97339721,0.001530633,4.484800534
0.886844445,0.001692773,-0.991464277,0.001727406,0.111460451
0.876175505,0.002227575,-0.970937612,0.005809235,0.69323753
0.530280239,0.001814557,-0.396387592,0.023336253,3.638404648
0.433695139,0.023706845,-0.931870904,0.15062431,0.398465299
0.991846341,0.0230364,-0.034736832,0.376455501,0.153470449
0.172343943,0.030647445,-0.366732914,0.017963432,5.577344641
0.826008112,0.009763474,-0.127498863,0.410158141,0.399216794
0.946890524,0.001980077,-0.804239718,0.273748311,1.655686291
0.447620263,0.008695643,-0.556812709,0.072252038,3.290862768
0.616582894,0.007611995,-0.591706581,0.096666649,0.744212979
0.965785483,0.000724123,-0.951059668,0.03877231,0.086858344
0.915658079,0.001156825,-0.948054939,0.030588795,0.010800674
0.975293838,0.001007083,-0.902793164,0.011805578,0.170618425
0.978663071,0.000622654,-0.961675959,0.000786677,3.668028845
0.943443459,0.000931046,-0.897518753,0.000993612,0.445437934
0.753183681,0.001193132,-0.987456506,0.026513264,0.011855104
0.937941677,0.001011528,-0.92451793,0.001802339,0.132851397
0.973749371,0.001130884,-0.98039518,0.051502962,0.136451969
0.88531973,0.012340036,-0.999304511,0.026920133,0.742873269
0.984144456,0.000833696,-0.971349543,0.000598013,8.190080238
0.968521729,0.001407052,-0.984452175,0.000331513,3.267293438
0.981321341,0.000457538,-0.912160905,0.004891637,0.062317495
0.956758552,0.00040877,-0.980710443,0.322991444,0.022071498
0.90314639,9.67E-05,-0.910233639,0.532056991,0.02529708
0.989306189,0.000835002,-0.953781674,0.000139152,4.619940766
0.900140622,0.000174276,-0.71723963,0.012088598,0.091724198
0.861655205,0.000668426,-0.909840038,0.014400148,0.055648327
0.942185395,0.000419985,-0.761679262,0.008608822,1.431152338
0.607811401,0.000190603,-0.916223032,0.043244115,0.134992216
0.828574607,0.000686668,-0.878938307,0.001990724,1.113448967
0.828176887,0.00036519,-0.773782187,0.423125735,0.075633646
0.086994273,0.041787198,-0.926832747,0.572547645,9.750863029
0.172855672,0.080359095,-0.92814895,2.563880211,8.728365603
0.885068032,0.002979887,-0.930187012,0.003333311,0.472496752
0.968477846,0.033261758,-0.994574156,0.051321759,0.077842831
0.895701706,0.003337367,-0.998514953,0.004031479,0.389189665
0.992211607,0.005123029,-0.949011016,0.002425226,0.412737072
0.9985065,0.036159314,-0.998173116,0.021437965,1.091567652
0.729012129,0.014905404,-0.603661012,0.008125808,1.894518121
0.965853233,0.001558696,-0.999382147,0.014406083,0.614906815
0.903492866,0.002342964,-0.975451954,0.000911728,1.251034879
0.890318385,0.001214571,-0.893942413,0.005944061,0.131722016
0.989619527,0.001925367,-0.895490148,0.01498483,0.091564456
0.960561778,0.001671186,-0.937420442,0.000993725,0.484790625
0.958197314,0.001316563,-0.943460789,0.081797812,0.01447022
0.940052141,0.000991136,-0.993326063,0.003325579,1.917975119
0.957289504,0.002732906,-0.987163862,0.007605878,0.08646465
0.869988664,0.002702787,-0.996259043,0.032227139,0.061333155
0.107480176,0.001445416,-0.491705675,0.021127791,2.496228676
0.932689025,0.001912057,-0.932013322,0.134802528,0.030126217
0.952765721,0.015351364,-0.99747123,0.007858405,2.662788392
0.952372665,0.000862159,-0.903148132,0.00591193,0.531602345
0.945341293,0.00074117,-0.949507469,0.008109827,0.194503765
0.724354798,0.028478721,-0.99695581,0.017634722,0.406162586
0.973514488,0.001177295,-0.948621202,0.150460547,0.02623785
0.990393097,0.001543405,-0.992869418,0.003211465,0.524983795
0.992653652,0.00077081,-0.98058603,0.005466761,0.386069207
0.955003451,0.000871625,-0.915919704,0.021328991,0.023752818
0.908122574,0.001023088,-0.963553486,0.041965227,0.064342227
0.984339065,0.000698581,-0.887370977,0.003573625,0.120844869
0.916226921,0.022754575,-0.994675342,0.157716796,0.095113204
0.972211465,0.000702602,-0.941339752,0.00074839,1.885433897
