sigma,v0,rho,theta,kappa
0.375557026,0.191936152,-0.023954046,0.311932852,7.947302122
0.40502208,0.229565979,-0.421128236,0.216743678,3.83252397
0.215494703,0.400886343,-0.668182977,0.542346723,7.848322214
0.750764716,0.121149506,-0.509552679,0.931033828,8.63241038
0.621457266,0.165309498,-0.147290426,1.730859121,5.334164301
0.639159433,0.220164604,-0.698840756,0.979605057,13.6946671
0.654564481,0.264814428,-0.293017358,1.063705692,10.31771047
0.121063667,0.548934214,-0.474521764,1.048803807,1.886018132
0.383325972,0.460825971,-0.958919533,1.172732366,0.99251405
0.854240452,0.068409519,-0.013667982,1.078633287,13.9531599
0.284763184,0.889083183,-0.81617354,0.086102783,11.53335602
0.133552375,0.542643048,-0.118329253,1.098209706,7.000037401
0.6288115,0.864198946,-0.069712983,0.096307943,2.219025953
0.550553747,0.767603167,-0.742337247,2.573986752,6.03022723
0.153194883,0.584839316,-0.533092743,2.719225944,9.629844151
0.137545512,1.60755173,-0.969695941,1.777726315,5.405250466
0.192803376,0.676890979,-0.656985553,2.896697758,14.77878904
0.162853843,2.280880066,-0.757379462,0.188477253,13.88441748
0.568674434,1.787419606,-0.634437187,2.247364627,5.855608495
0.751069382,1.6820013,-0.784117022,0.537713511,2.804459073
0.451614816,2.627733319,-0.373707437,0.408126767,12.42353913
0.111603999,2.307626703,-0.95626459,2.207465047,6.591556008
0.522680953,3.658719569,-0.766387802,0.585183943,3.193081529
0.280275913,4.094373763,-0.435727081,1.185187643,8.022529071
0.708974249,3.798316912,-0.410459912,0.403364522,8.029630377
0.131111306,4.209099926,-0.695886899,0.664748481,12.85377455
0.344269039,4.813196714,-0.671249853,1.132042717,5.810934149
0.988754848,4.996839414,-0.916797696,0.908504453,0.500211233
0.886454924,4.998792698,-0.840845808,1.388696848,0.421917977
0.348821584,0.120844558,-0.677895591,0.123704182,4.857636002
0.468816811,0.091904979,-0.800469028,0.287394235,1.107310512
0.291186958,0.1223178,-0.363013527,1.532328571,1.420605157
0.256486429,0.269477025,-0.28454435,0.307620397,0.611500013
0.765114112,0.350207924,-0.365887767,0.438924726,10.34687586
0.318731322,0.227510923,-0.387726669,0.543925496,12.86876464
0.899147439,0.191438029,-0.995023071,0.573566969,11.78766424
0.554642669,0.496348076,-0.407660331,0.195641603,10.19875373
0.068926848,0.189637038,-0.358223989,0.524564003,5.902519863
0.32680933,0.469634051,-0.699393896,0.016438194,7.923218339
