real_price,predicted_price,mape_error,mse_error
0.1316,0.13159674,6.121563519212564e-10,1.0601141921108574e-11
0.1128,0.11303055,4.160536530963877e-06,5.3154623133051496e-08
0.1199,0.11990101,7.080338087278748e-11,1.0178872413613755e-12
0.1311,0.13109398,2.1095450795278127e-09,3.625386394553492e-11
0.1033,0.10330456,1.9463225916405156e-09,2.0770826938702953e-11
0.1526,0.15259734,3.0432305033767837e-10,7.086450589284604e-12
0.1095,0.10950231,4.442747733420373e-10,5.3271901698787464e-12
0.1095,0.10952001,3.338377494857787e-08,4.0042611974299815e-10
0.1139,0.11390189,2.755725094940886e-10,3.575178733536704e-12
0.1038,0.103747725,2.538766895558813e-07,2.7326247349632357e-09
0.1213,0.12130525,1.8728303146622414e-09,2.755862988701489e-11
0.1366,0.13660556,1.657046146811269e-09,3.0922269443189885e-11
0.1332,0.13320418,9.833267051524044e-10,1.744751262368219e-11
0.1362,0.13620602,1.9508103877514874e-09,3.619158799737047e-11
0.13,0.12999016,5.7296509926166225e-09,9.681644428391891e-11
0.1411,0.14118086,3.280156221848749e-07,6.538018753735793e-09
0.1237,0.12370862,4.856035531255583e-09,7.431590741411279e-11
0.1067,0.10671628,2.3280357064897704e-08,2.651252032592698e-10
0.0646,0.06461634,6.392668671240189e-08,2.669112450807536e-10
0.07,0.069999434,6.536738157852608e-11,3.2029499053764106e-13
0.0602,0.060201604,7.098210672226041e-10,2.5725570171640922e-12
0.0451,0.04511271,7.938231243494138e-08,1.615554405518133e-10
0.0602,0.060198385,7.195002974795233e-10,2.6073579792540667e-12
0.0555,0.05655904,0.00035060781172254477,1.1215681414307837e-06
0.0744,0.07440409,3.0226615190138797e-09,1.6733359573258647e-11
0.0767,0.076619916,1.0924757781980968e-06,6.413500841166216e-09
0.0715,0.07147969,8.070934462339419e-08,4.1237200902320387e-10
0.0732,0.07346682,1.319053470345904e-05,7.11942491730087e-08
0.0478,0.04825026,8.708245337728292e-05,2.0273559325744632e-07
0.0471,0.047126386,3.1349397260542367e-07,6.962375997800258e-10
0.0516,0.051635567,4.7445931968674815e-07,1.265018521030503e-09
0.0666,0.06660449,4.539634599242141e-09,2.0138535292146956e-11
0.0542,0.054528847,3.636939051881641e-05,1.081405709001337e-07
0.0577,0.057706904,1.4312122071723139e-08,4.7660607799873114e-11
0.0587,0.05870486,6.8551234893986445e-09,2.3624542314003512e-11
0.0241,0.024230514,2.9012630330577792e-05,1.7033831553155274e-08
0.0165,0.016598064,3.49066620846244e-05,9.616636826422845e-09
0.0068,0.0072914013,0.004542035782218131,2.4147520892123817e-07
0.0063,0.0063164826,6.8092373316263105e-06,2.716746233228475e-10
0.0008,0.00010519062,43.62920476262916,4.827600717845389e-07
0.0003,2.087549e-06,20365.91440492359,8.875182840612379e-08
0.1099,0.10994966,2.040248258974913e-07,2.4664415234618693e-09
0.0893,0.0892983,3.6222966949748253e-10,2.888486926779113e-12
0.0974,0.09740212,4.729063583566036e-10,4.4865442545452226e-12
0.1066,0.10660473,1.9707960322179774e-09,2.2397247506799443e-11
0.0836,0.08360088,1.104777713618532e-10,7.721409565529544e-13
0.1232,0.123203546,8.282934194190416e-10,1.2572759990206742e-11
0.0866,0.08659615,1.9728515595890287e-09,1.479420439079696e-11
0.0866,0.086607665,7.832342365710474e-09,5.874951977835759e-11
0.091,0.09101302,2.0470704163675207e-08,1.6956641943372796e-10
0.0825,0.0827037,6.066543719045757e-06,4.149456663791026e-08
0.0954,0.09538052,4.1701864571886406e-08,3.7938037915077996e-10
0.1094,0.109389104,9.921792024879948e-09,1.187239258695993e-10
0.1035,0.10348049,3.555362456588234e-08,3.8071572822652896e-10
